Time id,Generator Name,Generator Id,Dispatched Energy,Unit Status,Ramp Down Rate (MW/h),Ramp Up Rate (MW/h),Max Capacity,Minimum Capacity,Demand
0,Clark Falls,1,3.0,1.0,1.2,1.2,3.0,0.9,24435
0,Fairfax Falls,1,1.4,1.0,0.56,0.56,1.4,0.42,24435
0,Fairfax Falls,2,2.1,1.0,0.84,0.84,2.1,0.63,24435
0,Glen,1,1.0,1.0,0.4,0.4,1.0,0.3,24435
0,Glen,2,1.0,1.0,0.4,0.4,1.0,0.3,24435
0,Lower Middlebury,1,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Lower Middlebury,2,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Lower Middlebury,3,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Milton,1,3.7,1.0,1.48,1.48,3.7,1.11,24435
0,Milton,2,3.7,1.0,1.48,1.48,3.7,1.11,24435
0,Peterson,1,6.3,1.0,2.52,2.52,6.3,1.89,24435
0,Pittsford,1,1.3,1.0,0.52,0.52,1.3,0.39,24435
0,Pittsford,2,1.3,1.0,0.52,0.52,1.3,0.39,24435
0,Pittsford,3,1.0,1.0,0.4,0.4,1.0,0.3,24435
0,Rutland,GT5,13.2,1.0,5.28,5.28,13.2,3.96,24435
0,Salisbury,1,1.3,1.0,0.52,0.52,1.3,0.39,24435
0,Silver Lake (VT),1,2.2,1.0,0.88,0.88,2.2,0.66,24435
0,Weybridge,1,3.0,1.0,1.2,1.2,3.0,0.9,24435
0,Newport,1,1.7,1.0,0.68,0.68,1.7,0.51,24435
0,Newport,2,1.7,1.0,0.68,0.68,1.7,0.51,24435
0,Newport,3,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,Berlin 5,GT1,0.0,0.0,16.72,16.72,41.8,12.54,24435
0,Colchester 16,GT1,18.0,1.0,7.2,7.2,18.0,5.4,24435
0,Essex Junction 19,H1,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Essex Junction 19,H2,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Essex Junction 19,H3,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Essex Junction 19,H4,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Essex Junction 19,H9,0.8,1.0,0.32,0.32,0.8,0.24,24435
